NO.,NAME,,NO. OF SHARES HELD,% *
1.,HONG LEONG INVESTMENT HOLDINGS PTE. LTD.,,"99,608,176",22.34
2.,DBS NOMINEES PTE LTD,,"26,048,842",5.84
3.,HONG REALTY (PRIVATE) LIMITED,,"23,271,370",5.22
4.,HONG LEONG CORPORATION HOLDINGS PTE LTD,,"19,685,812",4.42
5.,SGI INVESTMENT HOLDINGS PTE LTD,,"16,899,187",3.79
6.,GARDEN ESTATES (PTE.) LIMITED,,"16,710,670",3.75
7.,HONG LEONG FOUNDATION,,"13,854,823",3.11
8.,UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,,"10,890,629",2.44
9.,CITY DEVELOPMENTS LIMITED,,"9,149,817",2.05
10.,CITIBANK NOMINEES SINGAPORE PTE LTD,,"8,379,662",1.88
11.,HSBC (SINGAPORE) NOMINEES PTE LTD,,"7,194,348",1.61
12.,TUDOR COURT GALLERY PTE LTD,,"6,517,000",1.46
13.,CHNG GIM HUAT,,"5,614,000",1.26
14.,HONG LEONG HOLDINGS LIMITED,,"5,460,422",1.23
15.,RAFFLES NOMINEES (PTE) LTD,,"4,511,042",1.01
16.,HONG LEONG ENTERPRISES PTE. LTD.,,"4,485,047",1.01
17.,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"2,347,658",0.53
18.,MORPH INVESTMENTS LTD,,"2,060,000",0.46
19.,PHILLIP SECURITIES PTE LTD,,"2,024,555",0.45
20.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"1,994,600",0.45
,,,"286,707,660",64.31
